epoch,g_loss,g_psnr,d_loss,learning_rate_srgan
1,17.064464808050545,-17.069957733154297,[0.00691431 0.99870239],1e-04
2,9.929047646345571,-16.279769897460938,[0.00571061 0.99868134],1e-04
3,8.816741345375776,-15.951955795288086,[0.0046695  0.99938629],1e-04
4,8.235395574718714,-15.63121509552002,[0.00224297 0.99954132],1e-04
5,7.8528577502071855,-15.487759590148926,[0.00311268 0.99932312],1e-04
6,7.581606558645144,-15.281044960021973,[0.00114286 0.99982452],1e-04
7,7.345920576769859,-15.146527290344238,[0.00103594 0.99979919],1e-04
8,7.171789072519168,-15.051403999328613,[1.60531861e-07 1.00000000e+00],1e-04
9,7.017500641848892,-14.90982723236084,[0.00160275 0.99982574],1e-04
10,6.892987402384169,-14.85651969909668,[0.00367013 0.99954742],1e-04
11,6.7883821469452235,-14.808443069458008,[5.24068371e-04 9.99844360e-01],1e-04
12,6.682156023113057,-14.761259078979492,[5.13844963e-07 1.00000000e+00],1e-04
13,6.594204920153134,-14.720227241516113,[3.85851481e-09 1.00000000e+00],1e-04
14,6.493647653209045,-14.664484977722168,[9.22180847e-10 1.00000000e+00],1e-04
15,6.425183509006165,-14.449368476867676,[5.55126254e-10 1.00000000e+00],1e-04
16,6.347012788993307,-14.530470848083496,[4.85809812e-10 1.00000000e+00],1e-04
17,6.280773251061328,-14.416621208190918,[0.00197098 0.99968475],1e-04
18,6.220032444405369,-14.368515968322754,[0.00121113 0.99971649],1e-04
19,6.170414774022065,-14.234046936035156,[0.00180509 0.99971619],1e-04
20,6.1140488033136355,-14.28689956665039,[4.63100593e-07 1.00000000e+00],1e-04
21,6.053000476709567,-14.329769134521484,[0.00179232 0.99973328],1e-04
22,6.005612415745855,-14.311799049377441,[0.00528948 0.99948181],1e-04
23,5.9661826060619205,-14.153327941894531,[1.82844005e-07 1.00000000e+00],1e-04
24,5.891423245677725,-14.101701736450195,[9.12902288e-09 1.00000000e+00],1e-04
25,5.858683365955949,-14.128867149353027,[0.0020475  0.99973999],1e-04
26,5.839822674174793,-14.141837120056152,[1.44769486e-07 1.00000000e+00],1e-04
27,5.765054809711874,-13.981363296508789,[5.71291497e-09 1.00000000e+00],1e-04
28,5.730832309299148,-14.019436836242676,[0.00194549 0.99972382],1e-04
29,5.711067508012056,-14.017117500305176,[0.00120952 0.99975098],1e-04
30,5.671979758194648,-13.87463092803955,[6.14352982e-08 1.00000000e+00],1e-04
31,5.609464207212441,-13.920713424682617,[0.00287122 0.99948456],1e-04
32,5.594217523219995,-13.974126815795898,[3.17450807e-05 9.99987488e-01],1e-04
33,5.552956843222492,-13.966001510620117,[3.44480402e-04 9.99884949e-01],1e-04
34,5.505516880424693,-13.786715507507324,[5.61909788e-05 9.99983215e-01],1e-04
35,5.475738203087822,-13.796226501464844,[7.26148421e-09 1.00000000e+00],1e-04
36,5.458828363995999,-13.68089771270752,[0.00282673 0.99976715],1e-04
37,5.406776271048002,-13.795479774475098,[0.00500382 0.99947174],1e-04
38,5.392679402427748,-13.754538536071777,[0.00130496 0.99968994],1e-04
39,5.368426645062864,-13.728808403015137,[5.82436042e-08 1.00000000e+00],1e-04
40,5.338580138077959,-13.594459533691406,[2.66211509e-09 1.00000000e+00],1e-04
41,5.291720874500461,-13.63756275177002,[1.15977127e-09 1.00000000e+00],1e-04
42,5.256948849000037,-13.798955917358398,[7.63601829e-10 1.00000000e+00],1e-04
43,5.243295850744471,-13.677732467651367,[6.8355096e-10 1.0000000e+00],1e-04
44,5.208120209253393,-13.607650756835938,[5.43983791e-10 1.00000000e+00],1e-04
45,5.198430906245485,-13.629959106445312,[5.05945422e-10 1.00000000e+00],1e-04
46,5.139332690457813,-13.392755508422852,[4.7858734e-10 1.0000000e+00],1e-04
47,5.119056540788152,-13.449918746948242,[4.73012352e-10 1.00000000e+00],1e-04
48,5.111135273999534,-13.494255065917969,[4.59420822e-10 1.00000000e+00],1e-04
49,5.088606024831534,-13.486274719238281,[4.45461429e-10 1.00000000e+00],1e-04
50,5.05796007680241,-13.490941047668457,[4.43400538e-10 1.00000000e+00],1e-04
51,5.015574155827053,-13.537558555603027,[4.49834972e-10 1.00000000e+00],1e-04
52,4.997789057511836,-13.570538520812988,[4.50283054e-10 1.00000000e+00],1e-04
53,4.998512651454657,-13.46303653717041,[4.10886378e-10 1.00000000e+00],1e-04
54,4.950651737577282,-13.333566665649414,[4.14786297e-10 1.00000000e+00],1e-04
55,4.928540926268324,-13.240461349487305,[4.12107392e-10 1.00000000e+00],1e-04
56,4.896662018611096,-13.268747329711914,[3.98969839e-10 1.00000000e+00],1e-04
57,4.859557661777362,-13.148507118225098,[3.81106645e-10 1.00000000e+00],1e-04
58,4.841205208711326,-13.175466537475586,[4.06801354e-10 1.00000000e+00],1e-04
59,4.843375790328719,-13.400749206542969,[3.35935278e-10 1.00000000e+00],1e-04
60,4.802340295366012,-13.152689933776855,[3.06948807e-10 1.00000000e+00],1e-04
61,4.704728578892537,-13.178333282470703,[3.3579471e-10 1.0000000e+00],1e-04
62,4.647160966489464,-13.138147354125977,[3.30783185e-10 1.00000000e+00],1e-04
63,4.616447181305848,-13.11440658569336,[3.23076912e-10 1.00000000e+00],1e-04
64,4.602544691083022,-13.090925216674805,[2.95661268e-10 1.00000000e+00],1e-04
65,4.582905778693966,-13.03117561340332,[2.84192193e-10 1.00000000e+00],1e-04
66,4.55427382003516,-12.967759132385254,[3.03600232e-10 1.00000000e+00],1e-04
67,4.525218213526532,-13.030817031860352,[3.08077237e-10 1.00000000e+00],1e-04
68,4.5371935295313595,-13.097881317138672,[2.99487917e-10 1.00000000e+00],1e-04
69,4.520799522362649,-12.862591743469238,[3.00919584e-10 1.00000000e+00],1e-04
70,4.513456357356781,-12.762367422576642,[2.85645332e-10 1.00000000e+00],1e-04
71,4.464834126275964,-12.848686218261719,[0.00618084 0.99900391],1e-04
72,4.445568255190738,-12.879927635192871,[0.00518209 0.99895264],1e-04
73,4.424582784711383,-12.946388244628906,[9.75510887e-07 1.00000000e+00],1e-04
74,4.415566634228453,-12.807693481445312,[1.14838729e-08 1.00000000e+00],1e-04
75,4.395375595502555,-13.016073226928711,[5.69353631e-04 9.99804687e-01],1e-04
76,4.3478432826744395,-12.781099319458008,[8.70635261e-07 1.00000000e+00],1e-04
77,4.333810355146415,-13.040506362915039,[2.84573242e-09 1.00000000e+00],1e-04
78,4.334918845416978,-12.932437896728516,[0.00158608 0.99971497],1e-04
79,4.320814913683571,-12.860633850097656,[4.16385423e-07 1.00000000e+00],1e-04
80,4.314323557332357,-12.827545785356784,[1.6778203e-10 1.0000000e+00],1e-04
81,4.304854930448346,-13.065932273864746,[0.0021725  0.99967346],1e-04
82,4.293229414764792,-13.051553726196289,[0.00370709 0.99944336],1e-04
83,4.277917026528157,-12.792093276977539,[2.38601632e-04 9.99932861e-01],1e-04
84,4.2372314311517405,-12.712943077087402,[0.00177789 0.99969971],1e-04
85,4.223244876456447,-13.012378692626953,[9.0286564e-08 1.0000000e+00],1e-04
86,4.212624189415947,-12.55700397491455,[1.61696438e-09 1.00000000e+00],1e-04
87,4.181162168146111,-12.71619701385498,[2.88489819e-10 1.00000000e+00],1e-04
88,4.168649553549476,-12.709359169006348,[2.38880039e-10 1.00000000e+00],1e-04
89,4.1489294757368045,-12.803715705871582,[2.00003858e-10 1.00000000e+00],1e-04
90,4.117972868387588,-12.799175262451172,[1.6778203e-10 1.0000000e+00],1e-04
91,4.107451172349495,-12.751788139343262,[1.43275844e-10 1.00000000e+00],1e-04
92,4.096830485308995,-12.764166831970215,[1.52091141e-10 1.00000000e+00],1e-04
93,4.086209798268495,-12.776545524597168,[1.60906438e-10 1.00000000e+00],1e-04
94,4.075589111227995,-12.788924217224121,[1.69721735e-10 1.00000000e+00],1e-04
95,4.064968424187495,-12.801302909851074,[1.78537032e-10 1.00000000e+00],1e-04
96,4.04524095040746,-12.56595230102539,[1.23669513e-10 1.00000000e+00],1e-04
97,4.000295745292679,-13.059266090393066,[1.21120009e-10 1.00000000e+00],1e-04
98,4.012771566850133,-12.530360221862793,[1.21185086e-10 1.00000000e+00],1e-04
99,3.975375163522549,-12.571061134338379,[1.1343526e-10 1.0000000e+00],1e-04
100,3.9769983820430936,-13.300505638122559,[1.17029523e-10 1.00000000e+00],1e-04
101,3.9569303448358553,-12.683282852172852,[1.12170618e-10 1.00000000e+00],1e-04
102,3.9191132621327416,-12.32154655456543,[1.10493443e-10 1.00000000e+00],1e-04
103,3.93466565921437,-12.351629257202148,[1.07426432e-10 1.00000000e+00],1e-04
104,3.899210159294307,-12.687410354614258,[1.01915173e-10 1.00000000e+00],1e-04
105,3.896308883712627,-12.545500755310059,[1.0569638e-10 1.0000000e+00],1e-04
106,3.8864754423173142,-12.268869400024414,[9.78858339e-11 1.00000000e+00],1e-04
107,3.8638992597861215,-12.376798629760742,[1.00069259e-10 1.00000000e+00],1e-04
108,3.8457973345089704,-12.49460506439209,[1.03008333e-10 1.00000000e+00],1e-04
109,3.8320089660864323,-12.353253364562988,[1.03270402e-10 1.00000000e+00],1e-04
110,3.808486721003428,-12.575050354003906,[1.00816264e-10 1.00000000e+00],1e-04
111,3.8111660663224756,-12.325087547302246,[1.00164332e-10 1.00000000e+00],1e-04
112,3.779086346435361,-12.194844245910645,[1.07684879e-10 1.00000000e+00],1e-04
113,3.7766916601592673,-12.389480590820312,[1.19616564e-10 1.00000000e+00],1e-04
114,3.766288328464143,-12.52573299407959,[1.08184536e-10 1.00000000e+00],1e-04
115,3.7766665410390123,-12.450841903686523,[1.12440117e-10 1.00000000e+00],1e-04
116,3.7233969583921134,-12.410873413085938,[1.03294481e-10 1.00000000e+00],1e-04
117,3.743765820786357,-12.621369361877441,[1.00723604e-10 1.00000000e+00],1e-04
118,3.6941597803262995,-12.361220359802246,[1.02664855e-10 1.00000000e+00],1e-04
119,3.688289208258502,-12.253965377807617,[1.04908121e-10 1.00000000e+00],1e-04
120,3.6697321901796385,-12.412766456604004,[1.06805947e-10 1.00000000e+00],1e-04
121,3.6419630567636343,-12.072336196899414,[1.16194249e-10 1.00000000e+00],1e-04
122,3.635438203215599,-12.409466743469238,[1.25312791e-10 1.00000000e+00],1e-04
123,3.6138334044395015,-12.211204528808594,[1.24017778e-10 1.00000000e+00],1e-04
124,3.586016728300601,-12.37172794342041,[1.19817065e-10 1.00000000e+00],1e-04
125,3.591640351312235,-12.186385154724121,[1.07989715e-10 1.00000000e+00],1e-04
126,3.563121619792655,-12.143532752990723,[1.2718268e-10 1.0000000e+00],1e-04
127,3.5567136224219578,-11.974969863891602,[1.14586347e-10 1.00000000e+00],1e-04
128,3.542728187786415,-12.141054153442383,[1.23010618e-10 1.00000000e+00],1e-04
129,3.5444642058061437,-12.600472450256348,[1.1794786e-10 1.0000000e+00],1e-04
130,3.5067173594702035,-12.196250915527344,[1.12273535e-10 1.00000000e+00],1e-04
131,3.503745435751043,-12.187641143798828,[1.25888988e-10 1.00000000e+00],1e-04
132,3.5001985080260782,-12.116854667663574,[1.20072961e-10 1.00000000e+00],1e-04
133,3.49456038930919,-11.943166732788086,[1.2871425e-10 1.0000000e+00],1e-04
134,3.4795898540411145,-12.01573657989502,[1.11212309e-10 1.00000000e+00],1e-04
135,3.4739512469246985,-12.075575828552246,[1.11110328e-10 1.00000000e+00],1e-04
136,3.4069964888412505,-12.098222732543945,[9.91153089e-08 1.00000000e+00],1e-04
137,3.3858132262621075,-11.805201530456543,[0.00635979 0.99873505],1e-04
138,3.3873447459563613,-12.049503326416016,[0.00350202 0.99940491],1e-04
139,3.3789757760753854,-11.90084457397461,[0.0014573  0.99960541],1e-04
140,3.38886787859723,-11.922642707824707,[6.59019054e-04 9.99854431e-01],1e-04
141,3.350149394799955,-11.97201156616211,[1.9865764e-06 1.0000000e+00],1e-04
142,3.3479709527874366,-11.784966468811035,[1.51997233e-08 1.00000000e+00],1e-04
143,3.3435198101168497,-11.910815238952637,[2.31590871e-04 9.99920044e-01],1e-04
144,3.316644716206938,-12.013456344604492,[0.00309804 0.99973846],1e-04
145,3.308890838683583,-11.870931625366211,[2.34451081e-04 9.99913025e-01],1e-04
